iter	Passed	Remaining
0	159	158955
1	160	80113
2	161	53796
3	163	40620
4	164	32681
5	165	27394
6	166	23660
7	169	20968
8	170	18756
9	171	16958
10	172	15483
11	173	14257
12	174	13218
13	175	12329
14	175	11552
15	176	10872
16	177	10275
17	179	9779
18	180	9329
19	183	9009
20	184	8613
21	185	8246
22	186	7914
23	187	7607
24	187	7324
25	188	7063
26	189	6820
27	189	6594
28	190	6386
29	191	6193
30	192	6011
31	193	5842
32	193	5683
33	196	5575
34	197	5434
35	197	5300
36	198	5170
37	199	5048
38	200	4938
39	201	4831
40	202	4727
41	203	4644
42	207	4611
43	210	4563
44	210	4475
45	211	4390
46	212	4308
47	213	4233
48	214	4155
49	214	4080
50	215	4010
51	216	3944
52	217	3878
53	217	3813
54	218	3750
55	218	3690
56	219	3631
57	220	3574
58	220	3520
59	221	3467
60	227	3494
61	227	3446
62	228	3399
63	229	3351
64	229	3305
65	230	3261
66	231	3217
67	231	3175
68	232	3134
69	232	3094
70	233	3057
71	234	3020
72	234	2983
73	235	2947
74	236	2912
75	236	2878
76	241	2889
77	242	2863
78	244	2845
79	245	2820
80	246	2791
81	246	2763
82	247	2730
83	247	2703
84	248	2677
85	249	2651
86	250	2626
87	251	2601
88	252	2582
89	253	2564
90	254	2545
91	255	2524
92	257	2506
93	257	2485
94	258	2464
95	259	2443
96	260	2423
97	261	2403
98	261	2382
99	262	2361
100	262	2340
101	263	2321
102	264	2301
103	264	2281
104	265	2262
105	266	2244
106	270	2260
107	271	2243
108	272	2225
109	272	2208
110	273	2190
111	274	2173
112	274	2156
113	275	2139
114	276	2125
115	277	2114
116	278	2098
117	278	2084
118	279	2070
119	281	2060
120	285	2073
121	290	2090
122	291	2078
123	293	2070
124	294	2062
125	303	2103
126	304	2094
127	307	2092
128	308	2080
129	309	2067
130	309	2054
131	310	2042
132	311	2029
133	312	2018
134	315	2021
135	316	2010
136	317	1999
137	323	2019
138	325	2014
139	326	2004
140	327	1994
141	329	1988
142	332	1990
143	333	1983
144	334	1973
145	335	1964
146	336	1955
147	338	1947
148	341	1952
149	355	2014
150	356	2004
151	357	1993
152	358	1983
153	360	1981
154	363	1980
155	364	1970
156	365	1961
157	366	1951
158	367	1941
159	367	1931
160	368	1919
161	369	1909
162	369	1899
163	371	1894
164	373	1890
165	446	2243
166	447	2233
167	449	2227
168	450	2217
169	452	2206
170	453	2196
171	454	2186
172	455	2176
173	459	2181
174	460	2172
175	462	2163
176	463	2153
177	464	2143
178	465	2134
179	466	2124
180	467	2115
181	468	2107
182	469	2097
183	471	2089
184	473	2086
